Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Ondrej Fryc,Reflex Capital,,,,Venture Capital,www.reflexcapital.com,"Europe, United States","Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Prague, Czech Republic",www.reflexcapital.com,,,,,,,,,,,,,,,
William Alan Landman,MainLine Investment Partners,,,,PE/Buyout,www.mainlineco.com,United States,"Buy-out,Early Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$3.00,"Wynnewood, PA",www.mainlineco.com,,,,,,,,,,,,,,,
John Fein,Firebrand Ventures,,,,Venture Capital,www.firebrandvc.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"Kansas City, KS",www.firebrandvc.com,,,,,,,,,,,,,,,
Sara Eshelman,Spero Ventures,,,,Venture Capital,www.spero.vc,United States,"Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$0.20,$0.40,"Redwood City, CA",www.spero.vc,,,,,,,,,,,,,,,
Craig Dickman,TitletownTech,,,,Venture Capital,www.titletowntech.com,"Canada, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Green Bay, WI",www.titletowntech.com,,,,,,,,,,,,,,,
Kofi Ampadu,SKU'D Ventures,,,,Venture Capital,www.skudventures.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$2.00,,www.skudventures.com,,,,,,,,,,,,,,,
Bárbara Kunde Minuzzi,BABEL Ventures,,,,Venture Capital,www.babel.ventures,"Americas, United States","Bridge,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.30,"San Francisco, CA",www.babel.ventures,,,,,,,,,,,,,,,
Matthew T. Potter,Delphi Ventures,,,,Venture Capital,www.delphiventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$2.00,"San Mateo, CA",www.delphiventures.com,,,,,,,,,,,,,,,
Irina Meyer,Sils Capital,,,,Venture Capital,www.silscapital.com,"China, Israel, Switzerland, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"Pleasanton, CA",www.silscapital.com,,,,,,,,,,,,,,,
John A. Francis,Stout Street Capital,,,,Venture Capital,www.stoutstreetcapital.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"Denver, CO",www.stoutstreetcapital.com,,,,,,,,,,,,,,,
Kyran Culhane,DC Ventures,,,,Venture Capital,www.dcventures.vc,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Washington, DC",www.dcventures.vc,,,,,,,,,,,,,,,
Tom Stringham,University Growth Fund,,,,Growth/Expansion,www.ugrowthfund.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Salt Lake City, UT",www.ugrowthfund.com,,Yes,70%,2.0,45,10X and above,IPO,Weak,Heavily Involved ,Weeks,5,20%,Medium,67%,No
John Pappajohn,Pappajohn Capital Resources,,,,Venture Capital,www.pappajohn.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Des Moines, IA",www.pappajohn.com,,,,,,,,,,,,,,,
Patricia Muoio Ph.D,SineWave Ventures,,,,Venture Capital,www.sinewave.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.15,$1.00,"Arlington, VA",www.sinewave.vc,,,,,,,,,,,,,,,
Henri Pierre-Jacques,Harlem Capital Partners,,,,Venture Capital,harlem.capital,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"New York, NY",harlem.capital,,,,,,,,,,,,,,,
Marti Meyerson,2M Companies,,,,Family Office,www.2m.com,"Israel, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Dallas, TX",www.2m.com,,,,,,,,,,,,,,,
Raymond Choi,Valley Capital Partners,,,,Venture Capital,www.valleycappartners.com,"Americas, Canada, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.45,"Menlo Park, CA",www.valleycappartners.com,,Yes,55%,0.5,600,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Weeks,2,5%,Low,51%,Yes
Isabela Chick,Founders Factory,,,,Accelerator/Incubator,www.foundersfactory.com,,Seed,,"Convertible Debt,SAFE,Debt",$0.04,$0.21,"London, United Kingdom",www.foundersfactory.com,,,,,,,,,,,,,,,
Amir Vohooshi,7 Gate Ventures,,,,Family Office,www.7gate.vc,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Vancouver, Canada",www.7gate.vc,,,,,,,,,,,,,,,
James Dugan,OCA Ventures,,,,Venture Capital,www.ocaventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.40,"Chicago, IL",www.ocaventures.com,,,,,,,,,,,,,,,
Pam Dickinson,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Cindy Revol,Perot Jain,,,,Venture Capital,www.perotjain.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Dallas, TX",www.perotjain.com,,,,,,,,,,,,,,,
Benjamin Britt,Route 66 Ventures,,,,Venture Capital,www.route66ventures.com,"Africa, Americas, Asia, Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$3.00,"Alexandria, VA",www.route66ventures.com,,,,,,,,,,,,,,,
Matthew Saunders,Fastbreak Ventures,,,,Venture Capital,www.fastbreak.co,North America,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Toronto, Canada",www.fastbreak.co,,,,,,,,,,,,,,,
Maggie Stahl,SineWave Ventures,,,,Venture Capital,www.sinewave.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.15,$1.00,"Arlington, VA",www.sinewave.vc,,,,,,,,,,,,,,,
Eric Perez-Grovas,Jaguar Ventures,,,,Venture Capital,www.jaguarvc.com,"Argentina, Bolivia, Chile, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Mexico City, Mexico",www.jaguarvc.com,,,,,,,,,,,,,,,
Sarah Mooney,MassLight,,,,Accelerator/Incubator,masslight.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Washington, DC",masslight.com,,,,,,,,,,,,,,,
Anish Patel,Brightlane Ventures,,,,Venture Capital,www.brightlane.co,"India, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"New York, NY",www.brightlane.co,,,,,,,,,,,,,,,
Jessica Straus,Dundee Venture Capital,,,,Venture Capital,www.dundeeventurecapital.com,"Midwest, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.13,"Omaha, NE",www.dundeeventurecapital.com,,,,,,,,,,,,,,,
Mark Hatch,Network Society Ventures,,,,Venture Capital,www.netsoc.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"New York, NY",www.netsoc.vc,,,,,,,,,,,,,,,
Rosemarie Johnson,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Heberto Taracena,Capital Invent,,,,Venture Capital,www.capitalinvent.com,"Central America, Mexico, South America","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.03,"Mexico City, Mexico",www.capitalinvent.com,,,,,,,,,,,,,,,
Phin Upham,Bloodhound Partners,,,,Venture Capital,www.bloodhound.com,"Asia, Europe, South America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"San Francisco, CA",www.bloodhound.com,,,,,,,,,,,,,,,
Sophia Collier,Point Reyes Management,,,,Venture Capital,www.efund.com,Texas,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Sausalito, CA",www.efund.com,,,,,,,,,,,,,,,
Ollen Douglass,Motley Fool Ventures,,,,Venture Capital,www.foolventures.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Alexandria, VA",www.foolventures.com,,,,,,,,,,,,,,,
Guenia Gawendo,Telefónica Innovation Ventures,,,,Corporate Venture Capital,,"Europe, Israel, United States","Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$0.02,$0.71,"Madrid, Spain",,,,,,,,,,,,,,,,
Vivek Ladsariya,SineWave Ventures,,,,Venture Capital,www.sinewave.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.15,$1.00,"Arlington, VA",www.sinewave.vc,,,,,,,,,,,,,,,
Chula Reynolds,Point Reyes Management,,,,Venture Capital,www.efund.com,Texas,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Sausalito, CA",www.efund.com,,,,,,,,,,,,,,,
Joanne Bauer,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Steve O'Hara,The Valley Fund,,,,Venture Capital,www.thevalleyfund.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.60,"Menlo Park, CA",www.thevalleyfund.com,,,,,,,,,,,,,,,
Javier Barreiro Ramos,Arrebol Capital,,,,Venture Capital,arrebolcap.com,"Central America, Mexico, South America","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,Colombia,arrebolcap.com,,,,,,,,,,,,,,,
Shawn Carpenter,Three Tree Ventures,,,,Venture Capital,www.threetreeventures.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.08,"Falls Church, VA",www.threetreeventures.com,,,,,,,,,,,,,,,
Sion Balass,The Group Ventures,,,,Venture Capital,www.thegroup.ventures,"Canada, Israel",Early Stage,,"Convertible Debt,SAFE,Debt",$0.08,$0.24,"Toronto, Canada",www.thegroup.ventures,,,,,,,,,,,,,,,
Olivier Gilbert Garel,Unilever Ventures,,,,Corporate Venture Capital,www.unileverventures.com,"Asia, Europe, North America","Early Stage,Late Stage,PE Growth/Expansion,Secondary Transaction - Private,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$1.75,"London, United Kingdom",www.unileverventures.com,,Yes,90%,10.0,60,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,3,60%,Medium,75%,No
Sean Drake,Stony Lonesome Group,,,,Merchant Banking Firm,www.stonylonesomegroupllc.com,United States,"Early Stage,Late Stage,Seed",,Debt,$0.01,$1.00,"Weston, CT",www.stonylonesomegroupllc.com,,,,,,,,,,,,,,,
Armando Pauker,Apex Venture Partners,,,,Venture Capital,www.apexvc.com,"North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.60,"Chicago, IL",www.apexvc.com,,,,,,,,,,,,,,,
Amelia Gandara,Nationwide Ventures,,,,Corporate Venture Capital,nationwideventures.com,"Israel, United States","Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Columbus, OH",nationwideventures.com,,,,,,,,,,,,,,,
Gabriella Brignardello,Fika Ventures,,,,Venture Capital,www.fika.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Los Angeles, CA",www.fika.vc,,,,,,,,,,,,,,,
Wendy Hill,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Tia Doggett,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Clark C. Otley,Mayo Clinic Ventures,,,,Corporate Venture Capital,ventures.mayoclinic.org,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$2.00,"Rochester, MN",ventures.mayoclinic.org,,,,,,,,,,,,,,,
Scott MacCannell,York Angel Investors,,,,Angel Group,www.yorkangels.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.15,$1.00,"Markham, Canada",www.yorkangels.com,,,,,,,,,,,,,,,
Benjamin Ling,Bling Capital,,,,Venture Capital,www.blingcap.com,"North America, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.10,"San Francisco, CA",www.blingcap.com,,,,,,,,,,,,,,,
James Gunton,Tech Council Ventures,,,,Venture Capital,www.techcouncilventures.com,"Mid Atlantic, Northeast","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.40,"Summit, NJ",www.techcouncilventures.com,,,,,,,,,,,,,,,
Christopher Deutsch,Lofty Ventures,,,,Venture Capital,www.loftyventures.com,Illinois,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Chicago, IL",www.loftyventures.com,,,,,,,,,,,,,,,
Scott L Savitz,Data Point Capital,,,,Venture Capital,www.datapointcapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Boston, MA",www.datapointcapital.com,,,,,,,,,,,,,,,
John H. Willmoth,Poplar Ventures,,,,Venture Capital,www.poplarventures.com,"Central America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.25,"Louisville, KY",www.poplarventures.com,,,,,,,,,,,,,,,
Albert Wenger,Union Square Ventures,,,,Venture Capital,www.usv.com,"Asia, Australia, Europe, Middle East, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$0.60,"New York, NY",www.usv.com,,Yes,54%,3.0,100,2X - 5X,"Acquisition,Liquidation",On Demand,Outside Reliance,Months,2,10%,Low,36%,No
Will Rayner,TDF Ventures,,,,Venture Capital,www.tdfventures.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.tdfventures.com,,,,,,,,,,,,,,,
Sean Glass,Sean Glass,,,,Angel (individual),,"California, Florida","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Washington, DC",,,,,,,,,,,,,,,,
Jonathan Tower,Catapult VC,,,,Venture Capital,www.catapultvc.com,"Eastern Europe, North America, South America, United States, Western Europe","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.70,"Palo Alto, CA",www.catapultvc.com,,,,,,,,,,,,,,,
Susan Thomson,Persephone Venture Partners,,,,Venture Capital,www.persephoneventurepartners.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"Lincoln, MA",www.persephoneventurepartners.com,,,,,,,,,,,,,,,
Rob Douglas,Golden Triangle Angelnet,,,,Angel Group,www.goldentriangleangelnet.ca,Ontario,Seed,,"Convertible Debt,SAFE,Debt",$0.03,$0.08,"Cambridge, Canada",www.goldentriangleangelnet.ca,,,,,,,,,,,,,,,
Jon Francisco Toscano,Trivella Investimentos,,,,Venture Capital,www.trivella.net,Brazil,Early Stage,,"Convertible Debt,SAFE,Debt",$0.04,$0.19,"Itu, Brazil",www.trivella.net,,,,,,,,,,,,,,,
Derek Norton,Watertower Ventures,,,,Venture Capital,www.watertowerventures.com,"Bay Area, California, Colorado, Illinois, New York Metro, Southern California, Texas, Utah","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"Los Angeles, CA",www.watertowerventures.com,Over $10Billion,No,2%,9.0,67,10X and above,Acquisition,Heavily Supportive,Heavily Involved ,Months,4,5%,High,33%,Yes
Troy Henikoff,MATH Venture Partners,,,,Venture Capital,www.mathventurepartners.com,"Canada, United States","Early Stage,Late Stage",,Convertible Debt,$0.01,$1.00,"New York, NY",www.mathventurepartners.com,,,,,,,,,,,,,,,
Stephen Cousineau,The Chernin Group,,,,PE/Buyout,tcg.co,"Europe, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$8.50,"Los Angeles, CA",tcg.co,,,,,,,,,,,,,,,
Alexander Turkot,Maxfield Capital,,,,Venture Capital,www.maxfield.vc,"Eastern Europe, Israel, United States, Western Europe","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.10,"New York, NY",www.maxfield.vc,,,,,,,,,,,,,,,
Curt Albright,Clear Current Capital,,,,Venture Capital,www.clearcurrentcapital.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.08,"Hutchinson Island, FL",www.clearcurrentcapital.com,,,,,,,,,,,,,,,
Wendy Xiao Schadeck,Northzone Ventures,,,,Venture Capital,www.northzone.com,"Europe, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.12,$2.94,"London, United Kingdom",www.northzone.com,,,,,,,,,,,,,,,
Keith Nilsson,Xplorer Capital,,,,Venture Capital,www.xplorer.vc,North America,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$1.00,"Menlo Park, CA",www.xplorer.vc,Over $10 Billion,No,36%,10.0,65,Over 5X and under 10X,"IPO,Liquidation,Acquisition",On Demand,Accept Others DD Reports,Months,5,30%,Low,55%,Yes
Leonard A. Batterson,Batterson Venture Capital,,,,Venture Capital,www.battersonvc.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.50,"Chicago, IL",www.battersonvc.com,,,,,,,,,,,,,,,
Peter Hershberg,Peter Hershberg,,,,Angel (individual),,New York,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.01,"Dorset, VT",,,,,,,,,,,,,,,,
Daniel Lloreda,H20 Capital Innovation,,,,Venture Capital,www.h20capital.com,"North America, South America","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"Miami, FL",www.h20capital.com,,,,,,,,,,,,,,,
Martin Philipp,Business Development Bank of Canada,,,,Corporation,www.bdc.ca,"Americas, Canada, United States","Acquisition Financing,Early Stage,Late Stage,Buy-out,Mezzanine,PE Growth/Expansion,Seed",,"Loan,Debt",$0.24,$1.98,"Montreal, Canada",www.bdc.ca,,,,,,,,,,,,,,,
Andrew Ogawa,Quest Venture Partners,,,,Venture Capital,www.questvp.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"Palo Alto, CA",www.questvp.com,,,,,,,,,,,,,,,
Tina Bao,Congruent Ventures,,,,Venture Capital,www.congruentvc.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.40,"Oakland, CA",www.congruentvc.com,,,,,,,,,,,,,,,
Spencer Stensrude,Ag Ventures Alliance,,,,Venture Capital,www.agventuresalliance.com,United States,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.20,"Mason City, IA",www.agventuresalliance.com,,,,,,,,,,,,,,,
Antoine Loison,Aglaé Ventures,,,,Venture Capital,www.aglaeventures.com,"France, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$10.00,"Paris, France",www.aglaeventures.com,,,,,,,,,,,,,,,
Sean W. Doolan,Virtue VC,,,,Venture Capital,www.virtuevc.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.15,"Austin, TX",www.virtuevc.com,,Yes,20%,1.4,32,Over 5X and under 10X,Liquidation,Weak,Accept Others DD Reports,Weeks,4,1%,Low,12%,Case by case
B. Jefferson Clark,The Aurora Funds,,,,Venture Capital,www.aurorafunds.com,"Mid Atlantic, Southeast","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.80,"Cary, NC",www.aurorafunds.com,,,,,,,,,,,,,,,
Geoffrey Bernstein,Indicator Ventures,,,,Venture Capital,www.indicatorventures.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.08,$0.15,"Boston, MA",www.indicatorventures.com,,,,,,,,,,,,,,,
Scott Thacker,Sand Hill Angels,,,,Angel Group,www.sandhillangels.com,United States,"Angel Round,Bridge,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Mountain View, CA",www.sandhillangels.com,,,,,,,,,,,,,,,
Code Cubitt,Mistral Venture Partners,,,,Venture Capital,www.mistralvp.com,"Canada, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.04,$0.08,"Ottawa, Canada",www.mistralvp.com,,,,,,,,,,,,,,,
