Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Chris Yeh,Chris Yeh,,,,Angel (individual),www.chrisyeh.com,California,,,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"San Francisco, CA",www.chrisyeh.com,,,,,,,,,,,,,,,
Jonathon Triest,Ludlow Ventures,,,,Venture Capital,www.ludlowventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$0.75,"Detroit, MI",www.ludlowventures.com,,,,,,,,,,,,,,,
Henry R. Kaestner,Sovereign's Capital,,,,PE/Buyout,www.sovereignscapital.com,"Southeast Asia, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.20,"San Francisco, CA",www.sovereignscapital.com,,,,,,,,,,,,,,,
Nick Thompson,B Capital Group,,,,Venture Capital,www.bcapgroup.com,"Asia, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,"Manhattan Beach, CA",www.bcapgroup.com,,,,,,,,,,,,,,,
Christopher Eckstrom,Rock River Capital Partners,,,,Venture Capital,www.rockrivercapital.com,Midwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.50,,www.rockrivercapital.com,,,,,,,,,,,,,,,
Peter W. Farner,TGap Ventures,,,,Venture Capital,www.tgapvcfunds.com,Midwest,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.tgapvcfunds.com,,,,,,,,,,,,,,,
Jason Whitney,IU Ventures,,,,Venture Capital,www.iuventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Bloomington, IN",www.iuventures.com,,,,,,,,,,,,,,,
Michael Walsh,Structure Capital,,,,Venture Capital,www.structure.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Francisco, CA",www.structure.vc,,,,,,,,,,,,,,,
Rupert Ralston,IT Ventures,,,,Venture Capital,www.itventures.co.nz,"Europe, United States",,,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"London, United Kingdom",www.itventures.co.nz,,,,,,,,,,,,,,,
Nitin Pachisia,Unshackled Ventures,,,,Venture Capital,www.unshackledvc.com,United States,Seed,,"Convertible Debt,SAFE,Debt",$0.02,$0.03,"Palo Alto, CA",www.unshackledvc.com,,No,78%,6.0,20,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,4,25%,Low,34%,No
,Bridgescale,,,,Venture Capital,www.bridgescale.com, ,,,"Convertible Debt,SAFE,Debt",$3.00,$8.00,"Menlo Park, CA",www.bridgescale.com,,,,,,,,,,,,,,,
Carolyn Cassin,BELLE Impact Fund,,,,Venture Capital,www.bellefunds.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.15,"Wayne County, MI",www.bellefunds.com,,,,,,,,,,,,,,,
William Quigley,Clearstone Venture Partners,,,,Venture Capital,www.clearstone.com,Southern California,,,"Convertible Debt,SAFE,Debt",$2.00,$20.00,"Santa Monica, CA",www.clearstone.com,,,,,,,,,,,,,,,
Jonathan Jonas,JVC Investment Partners,,,,Venture Capital,www.jvcmanagement.com,,"Acquisition Financing,Buy-out,Carveout,Early Stage,Late Stage,M&A,Mezzanine,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.50,$40.00,,www.jvcmanagement.com,,,,,,,,,,,,,,,
Nils Regge,Apollo Health Ventures,,,,Venture Capital,www.apollo.vc,"Europe, United States","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$2.00,"Berlin, Germany",www.apollo.vc,,,,,,,,,,,,,,,
David A Auerbach,Inspovation Ventures,,,,Venture Capital,www.inspovation.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Los Altos, CA",www.inspovation.com,,,,,,,,,,,,,,,
Thomas Bruderman,MAG Ventures,,,,Venture Capital,www.magventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$2.50,,www.magventures.com,,,,,,,,,,,,,,,
Devin Carty,Martin Ventures,,,,Venture Capital,www.martinventures.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$3.00,,www.martinventures.com,,,,,,,,,,,,,,,
Mark Read,WPP Ventures,,,,Corporate Venture Capital, , ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.50, , ,,,,,,,,,,,,,,,
James Currier,NFX,,,,Venture Capital,www.nfx.com,"Bay Area, Israel","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.nfx.com,,,,,,,,,,,,,,,
